Date,AAPL,ABBV,ADBE,AMD,AMZN,AVGO,BAC,CAT,COST,CVX,GE,GLD,GOOGL,GS,HD,IEF,JNJ,JPM,KO,LLY,MA,META,MSFT,NEE,NFLX,NVDA,PG,PLD,QCOM,TLT,TSLA,UNH,UNP,V,XOM
2025-01-06,243.4446258544922,171.2061767578125,431.17999267578125,129.5500030517578,227.61000061035156,233.43295288085938,43.894805908203125,357.26434326171875,915.3397216796875,138.10757446289062,171.01028442382812,243.19000244140625,195.8470458984375,566.233642578125,374.5661926269531,87.11974334716797,137.86312866210938,233.75595092773438,58.287628173828125,756.8671875,506.5210266113281,627.1004028320312,422.833984375,68.11819458007812,88.17900085449219,149.20713806152344,154.201904296875,101.43305206298828,154.78102111816406,81.35247802734375,411.04998779296875,494.6316223144531,222.32644653320312,309.5509338378906,102.54166412353516
2025-01-07,240.67233276367188,170.664306640625,422.6300048828125,127.33000183105469,222.11000061035156,225.76080322265625,44.55226135253906,356.0871887207031,914.0103759765625,140.2927703857422,170.8714599609375,244.55999755859375,194.47421264648438,563.0597534179688,369.6216125488281,86.72314453125,140.32940673828125,236.00759887695312,58.31637954711914,764.9690551757812,505.99664306640625,614.8510131835938,417.4181823730469,67.34368896484375,87.91899871826172,139.93099975585938,154.87403869628906,101.35697174072266,155.42979431152344,80.43504333496094,394.3599853515625,495.1900939941406,222.8387451171875,308.1961669921875,103.50293731689453
2025-01-08,241.15921020507812,169.68519592285156,419.5799865722656,121.83999633789062,222.1300048828125,226.42236328125,44.67794418334961,354.1939697265625,919.96240234375,140.95864868164062,171.44662475585938,245.86000061035156,192.9422149658203,562.9627685546875,372.47869873046875,86.87422943115234,136.52920532226562,235.9687957763672,59.15029525756836,778.7490844726562,510.9438171386719,607.7161254882812,419.5825500488281,67.5636215209961,87.5,139.90106201171875,155.6421661376953,100.32987976074219,154.03543090820312,80.53804016113281,394.94000244140625,505.0794677734375,224.07601928710938,309.1158142089844,101.770751953125
2025-01-10,235.3463592529297,166.5196075439453,405.9200134277344,116.04000091552734,218.94000244140625,221.48532104492188,43.614418029785156,344.31573486328125,929.4559936523438,143.62210083007812,170.25662231445312,248.2100067138672,191.04212951660156,543.5314331054688,375.06640625,86.24156951904297,136.32766723632812,232.80479431152344,58.53683853149414,791.292724609375,500.0737609863281,612.830810546875,414.03826904296875,64.4273452758789,83.76899719238281,135.7073211669922,152.24319458007812,98.51348114013672,152.00201416015625,80.0044174194336,394.739990234375,501.3913879394531,217.68682861328125,304.2803039550781,101.39956665039062
2025-01-13,232.9119110107422,168.01210021972656,408.5,117.31999969482422,218.4600067138672,222.45297241210938,43.566078186035156,355.5967102050781,917.3138427734375,145.69476318359375,170.1376495361328,245.74000549316406,190.01748657226562,546.3947143554688,374.3833923339844,86.09048461914062,138.6404266357422,237.01699829101562,59.0927848815918,788.898681640625,500.3115539550781,605.3380126953125,412.2989501953125,64.02574920654297,84.02899932861328,133.03131103515625,152.5120391845703,100.20625305175781,152.14727783203125,79.9763412475586,403.30999755859375,521.08349609375,219.18502807617188,303.4991149902344,104.01688385009766
2025-01-14,231.7990264892578,166.880859375,412.7099914550781,116.08999633789062,217.75999450683594,221.8704071044922,44.262203216552734,364.4940185546875,909.9034423828125,147.1484375,175.3834686279297,247.02999877929688,188.6745147705078,554.7223510742188,377.8465270996094,86.11880493164062,138.90911865234375,240.1809539794922,59.46660614013672,736.8944091796875,504.38409423828125,591.3271484375,410.7967834472656,65.00106048583984,82.83999633789062,131.56350708007812,153.37619018554688,102.82149505615234,154.47117614746094,79.84526824951172,396.3599853515625,523.5870971679688,221.71749877929688,305.64495849609375,104.42613983154297
2025-01-15,236.35987854003906,164.42431640625,417.2799987792969,119.95999908447266,223.35000610351562,225.12884521484375,45.53844451904297,367.7507629394531,916.1233520507812,148.48956298828125,178.78482055664062,248.8800048828125,194.53392028808594,588.1010131835938,390.6504821777344,87.02532196044922,139.12025451660156,244.917236328125,59.20780944824219,738.7047729492188,517.5927124023438,614.084716796875,421.31201171875,66.25364685058594,84.82599639892578,136.03683471679688,153.28973388671875,102.56472778320312,159.19639587402344,81.221435546875,428.2200012207031,523.2789916992188,223.1480712890625,312.7547912597656,106.12977600097656
2025-01-16,226.81089782714844,166.67933654785156,426.92999267578125,118.44000244140625,220.66000366210938,226.52110290527344,45.093692779541016,373.302978515625,912.4033203125,149.47430419921875,178.2394256591797,250.60000610351562,191.90762329101562,594.963134765625,393.76727294921875,87.23304748535156,141.80728149414062,246.78067016601562,59.66789627075195,749.4478149414062,518.3755493164062,608.2933349609375,419.6022644042969,68.24250030517578,84.23699951171875,133.3708038330078,154.10589599609375,105.49378204345703,156.31089782714844,81.48356628417969,413.82000732421875,491.665771484375,227.0434112548828,313.7139892578125,105.94893646240234
2025-01-17,228.5199737548828,164.62583923339844,429.989990234375,121.45999908447266,225.94000244140625,234.44998168945312,44.987335205078125,378.6687927246094,935.6561279296875,151.4344024658203,181.32347106933594,249.27000427246094,194.98158264160156,607.5323486328125,393.8153991699219,87.29915618896484,141.09713745117188,251.52664184570312,60.10881423950195,717.9109497070312,519.9213256835938,609.7561645507812,424.0001220703125,67.65923309326172,85.80999755859375,137.504638671875,154.71080017089844,104.11486053466797,159.34164428710938,81.6240005493164,426.5,490.86651611328125,226.43447875976562,316.0575866699219,106.90068817138672
2025-01-21,221.22657775878906,165.63340759277344,436.3599853515625,122.27999877929688,230.7100067138672,237.28384399414062,45.11302947998047,392.2063903808594,940.1597900390625,148.40516662597656,185.93463134765625,253.1300048828125,197.02093505859375,616.0734252929688,402.52130126953125,87.59188842773438,142.1719207763672,255.28262329101562,59.830841064453125,734.3619384765625,523.2506713867188,613.427978515625,423.476318359375,67.74528503417969,86.96800231933594,140.61996459960938,155.27728271484375,111.5230941772461,161.96571350097656,82.35417938232422,424.07000732421875,505.5321044921875,228.82196044921875,320.02288818359375,106.0916976928711
2025-01-22,222.40902709960938,162.3612518310547,437.32000732421875,123.75,235.00999450683594,237.8762969970703,44.271873474121094,391.46795654296875,937.154052734375,146.6888885498047,186.78746032714844,254.42999267578125,197.33924865722656,614.1226806640625,394.5080261230469,87.3652572631836,139.40814208984375,255.09825134277344,59.21738815307617,745.8668212890625,522.3787231445312,620.433349609375,440.9688415527344,65.48869323730469,95.39900207519531,146.85069274902344,158.17698669433594,109.48796081542969,164.84153747558594,81.92354583740234,415.1099853515625,500.45733642578125,227.92303466796875,319.9536437988281,104.24530029296875
2025-01-23,222.24009704589844,163.77182006835938,437.2799987792969,123.04000091552734,235.4199981689453,237.2542266845703,44.85198211669922,400.1222229003906,934.63427734375,146.3137664794922,199.12359619140625,254.07000732421875,196.95127868652344,620.6935424804688,398.6349792480469,87.13862609863281,140.72286987304688,258.1166687011719,58.977760314941406,758.35107421875,529.3546142578125,633.3196411132812,441.4728698730469,66.19628143310547,98.48600006103516,147.00045776367188,159.5308074951172,112.73085021972656,168.8308868408203,81.2869644165039,412.3800048828125,510.1349182128906,239.76382446289062,324.55181884765625,104.83538818359375
2025-01-24,221.3656768798828,163.41676330566406,435.3800048828125,122.83999633789062,234.85000610351562,241.61856079101562,44.97767639160156,401.3332214355469,932.174072265625,145.9761199951172,195.107421875,255.64999389648438,199.16970825195312,618.1700439453125,398.7406921386719,87.31806182861328,140.8955841064453,257.0393371582031,59.35157775878906,776.9585571289062,528.6312255859375,644.305419921875,438.8538818359375,69.6385269165039,97.75900268554688,142.4073028564453,158.5425567626953,113.10173797607422,166.6522216796875,81.65206146240234,406.5799865722656,512.7733154296875,240.4694366455078,326.5196533203125,103.41727447509766
2025-01-27,228.40074157714844,169.75003051757812,438.6000061035156,115.01000213623047,235.4199981689453,199.5846405029297,45.528770446777344,388.8786315917969,957.5398559570312,147.45791625976562,192.83653259277344,252.99000549316406,190.8133544921875,614.656494140625,408.71649169921875,87.88461303710938,146.72067260742188,258.0195617675781,61.220703125,799.4737548828125,542.6524047851562,656.6343994140625,429.4653015136719,70.5947036743164,97.18900299072266,118.24340057373047,163.89430236816406,115.30805206298828,165.751708984375,82.6163101196289,397.1499938964844,523.375244140625,245.9210205078125,330.811279296875,104.85442352294922
