Date,AAPL,JNJ,MSFT
2024-04-12,174.7967071533203,138.26490783691406,414.62420654296875
2024-04-15,170.97503662109375,138.3304901123047,406.5067443847656
2024-04-16,167.6978759765625,135.3874969482422,407.4304504394531
2024-04-17,166.33160400390625,135.6874237060547,404.7377014160156
2024-04-18,165.38111877441406,136.59658813476562,397.2982482910156
2024-04-19,163.3613739013672,138.63043212890625,392.23712158203125
2024-04-22,164.1930389404297,139.76451110839844,394.0453796386719
2024-04-23,165.24252319335938,140.1768798828125,400.5413818359375
2024-04-24,167.3414764404297,139.21151733398438,402.0056457519531
2024-04-25,168.2028350830078,137.6088104248047,392.15850830078125
2024-04-26,167.61868286132812,136.9714813232422,399.31292724609375
2024-04-29,171.7769775390625,137.6088104248047,395.3131408691406
2024-04-30,168.63845825195312,135.51870727539062,382.6158752441406
2024-05-01,167.61868286132812,141.69525146484375,388.12921142578125
2024-05-02,171.31166076660156,140.51431274414062,390.9791564941406
2024-05-03,181.55886840820312,139.9051055908203,399.6470642089844
2024-05-06,179.9054718017578,139.25840759277344,406.40838623046875
2024-05-07,180.5885772705078,139.3896026611328,402.2808532714844
2024-05-08,180.92520141601562,139.60516357421875,403.4601745605469
2024-05-09,182.73704528808594,140.44871520996094,405.20941162109375
2024-05-10,181.47796630859375,140.5049591064453,407.5877380371094
2024-05-13,184.68023681640625,141.73277282714844,406.5852966308594
2024-05-14,185.82034301757812,141.8827362060547,409.3763732910156
2024-05-15,188.09066772460938,143.09181213378906,416.5338134765625
2024-05-16,188.20960998535156,144.6007843017578,414.4761657714844
2024-05-17,188.2393798828125,144.93821716308594,413.708251953125
2024-05-20,189.39930725097656,142.92568969726562,418.7588806152344
2024-05-21,190.69810485839844,142.89735412597656,422.4016418457031
2024-05-22,189.26052856445312,145.03268432617188,423.8587341308594
2024-05-23,185.27505493164062,141.4423065185547,420.3931579589844
2024-05-24,188.3484344482422,138.86288452148438,423.5042724609375
2024-05-28,188.3583526611328,136.41575622558594,423.661865234375
2024-05-29,188.65576171875,136.47244262695312,422.5296630859375
2024-05-30,189.6471405029297,137.26611328125,408.25396728515625
2024-05-31,190.59893798828125,138.57943725585938,408.7068786621094
2024-06-03,192.36366271972656,139.5904083251953,407.1217346191406
2024-06-04,192.680908203125,139.6470947265625,409.63232421875
2024-06-05,194.1878662109375,137.91806030273438,417.4494323730469
2024-06-06,192.80978393554688,138.34323120117188,417.9515686035156
2024-06-07,195.1990966796875,138.96681213378906,417.2919616699219
2024-06-10,191.46148681640625,139.01406860351562,421.249755859375
2024-06-11,205.3709716796875,138.66445922851562,425.98529052734375
2024-06-12,211.24014282226562,137.38894653320312,434.2356262207031
2024-06-13,212.40011596679688,137.42674255371094,434.7475891113281
2024-06-14,210.6651153564453,137.51177978515625,435.7223205566406
2024-06-17,214.80921936035156,137.899169921875,441.4324951171875
2024-06-18,212.44964599609375,137.6156768798828,439.4339904785156
2024-06-20,207.87924194335938,139.6282196044922,438.8038635253906
2024-06-21,205.7080535888672,140.54470825195312,442.82073974609375
2024-06-24,206.3524932861328,140.894287109375,440.7434387207031
2024-06-25,207.27450561523438,139.07077026367188,443.9726257324219
2024-06-26,211.4185791015625,138.72116088867188,445.1639099121094
2024-06-27,212.2613067626953,137.75743103027344,445.84320068359375
2024-06-28,208.81118774414062,138.0975799560547,440.0345458984375
2024-07-01,214.88853454589844,138.3621063232422,449.6632080078125
2024-07-02,218.37828063964844,137.97474670410156,452.1737976074219
2024-07-03,219.64732360839844,137.6535186767578,453.64068603515625
2024-07-05,224.3961944580078,138.39991760253906,460.3255920410156
2024-07-08,225.86346435546875,137.45506286621094,459.0260314941406
2024-07-09,226.71607971191406,138.93849182128906,452.4297180175781
2024-07-10,230.97914123535156,141.18719482421875,459.0359191894531
2024-07-11,225.61563110351562,141.4423065185547,447.6646423339844
2024-07-12,228.5601043701172,141.6123809814453,446.53240966796875
2024-07-15,232.386962890625,141.00765991210938,446.93603515625
2024-07-16,232.80337524414062,142.68002319335938,442.5647277832031
2024-07-17,226.91439819335938,147.94277954101562,436.6576232910156
2024-07-18,222.25473022460938,146.84677124023438,433.55633544921875
2024-07-19,222.38360595703125,146.15704345703125,430.34674072265625
2024-07-22,222.03663635253906,145.73187255859375,436.0865478515625
2024-07-23,223.07757568359375,143.94613647460938,437.9670104980469
2024-07-24,216.66314697265625,147.65933227539062,422.2638244628906
2024-07-25,215.6221923828125,150.83396911621094,411.9262390136719
2024-07-26,216.08816528320312,151.77883911132812,418.6899108886719
2024-07-29,216.36575317382812,149.81356811523438,420.1273498535156
2024-07-30,216.92092895507812,152.43077087402344,416.3763427734375
2024-07-31,220.1727752685547,149.1427459716797,411.8770446777344
2024-08-01,216.48472595214844,151.89219665527344,410.65618896484375
2024-08-02,217.97181701660156,155.08575439453125,402.1695861816406
2024-08-05,207.4727783203125,152.3551788330078,389.0360107421875
2024-08-06,205.45028686523438,150.20094299316406,393.427001953125
2024-08-07,208.01806640625,150.1348114013672,392.2652587890625
2024-08-08,211.4781036376953,151.3820037841797,396.4593505859375
2024-08-09,214.38290405273438,151.75991821289062,399.7378234863281
2024-08-12,215.91146850585938,151.06076049804688,400.5155944824219
2024-08-13,219.62362670898438,149.65293884277344,407.6041564941406
2024-08-14,220.0703125,149.73797607421875,410.41009521484375
2024-08-15,223.0479736328125,150.3143310546875,415.2626953125
2024-08-16,224.36807250976562,150.5977783203125,412.7377624511719
2024-08-19,224.20925903320312,150.8245391845703,415.755859375
2024-08-20,224.8246307373047,151.3253173828125,418.98101806640625
2024-08-21,224.7154541015625,152.52525329589844,418.3301086425781
2024-08-22,222.859375,153.39450073242188,409.85772705078125
2024-08-23,225.15219116210938,155.07632446289062,411.080810546875
2024-08-26,225.48963928222656,155.52984619140625,407.82598876953125
2024-08-27,226.33335876464844,155.12997436523438,408.1711730957031
2024-08-28,224.80477905273438,156.05343627929688,404.9755859375
2024-08-29,228.0802001953125,156.3485565185547,407.4610290527344
2024-08-30,227.29612731933594,157.90032958984375,411.426025390625
2024-09-03,221.11251831054688,159.13796997070312,403.8314514160156
2024-09-04,219.20677185058594,159.32835388183594,403.2988586425781
2024-09-05,220.7253875732422,157.07208251953125,402.79583740234375
2024-09-06,219.177001953125,156.4913787841797,396.1974792480469
2024-09-09,219.26632690429688,158.61436462402344,400.16241455078125
2024-09-10,218.47227478027344,159.34739685058594,408.52630615234375
2024-09-11,221.00326538085938,156.91024780273438,417.2452087402344
2024-09-12,221.11251831054688,156.7388916015625,421.15093994140625
2024-09-13,220.84449768066406,157.57664489746094,424.69171142578125
2024-09-16,214.71047973632812,158.97610473632812,425.43145751953125
2024-09-17,215.17697143554688,159.05227661132812,429.18927001953125
2024-09-18,219.04795837402344,158.1764373779297,424.90875244140625
2024-09-19,227.16709899902344,156.91024780273438,432.6807861328125
2024-09-20,226.5020751953125,156.28192138671875,429.3075866699219
2024-09-23,224.7849578857422,155.38702392578125,427.5718078613281
2024-09-24,225.67825317382812,154.96815490722656,423.291259765625
2024-09-25,224.68569946289062,152.89279174804688,426.19091796875
2024-09-26,225.8271484375,153.6448516845703,425.4018859863281
2024-09-27,226.09510803222656,153.65435791015625,422.156982421875
2024-09-30,231.26638793945312,154.28271484375,424.40570068359375
2024-10-01,224.52687072753906,154.216064453125,414.9273681640625
2024-10-02,225.0926513671875,153.43540954589844,411.4161376953125
2024-10-03,223.9908905029297,152.7975616455078,410.8341979980469
2024-10-04,225.11248779296875,152.59764099121094,410.36077880859375
2024-10-07,220.04051208496094,151.8740997314453,403.9300842285156
2024-10-08,224.0901641845703,152.0264129638672,409.02923583984375
2024-10-09,227.83209228515625,152.9403533935547,411.7415771484375
2024-10-10,227.33580017089844,152.8070831298828,410.143798828125
2024-10-11,225.85693359375,153.7115020751953,410.61724853515625
2024-10-14,229.5790252685547,153.8448028564453,413.3986511230469
2024-10-15,232.11004638671875,156.2248077392578,413.0040588378906
2024-10-16,230.055419921875,156.3961639404297,410.4199523925781
2024-10-17,230.4226837158203,156.57705688476562,411.0117492675781
2024-10-18,233.25146484375,157.19583129882812,412.43206787109375
2024-10-21,234.720458984375,155.0157470703125,413.04351806640625
2024-10-22,234.10507202148438,155.60597229003906,421.6539611816406
2024-10-23,229.0430145263672,157.90032958984375,418.7838134765625
2024-10-24,228.8544158935547,155.8154296875,418.91204833984375
2024-10-25,229.68820190429688,153.15933227539062,422.28515625
2024-10-28,231.66339111328125,153.8448028564453,420.7465515136719
2024-10-29,231.93136596679688,152.40724182128906,426.0331115722656
2024-10-30,228.38795471191406,152.9022979736328,426.60516357421875
2024-10-31,224.22911071777344,152.1882781982422,400.7837829589844
